FeedbackId,DateCreated,Question,QuestionType,Answer,DateFeedbackReceived
18588828,9/26/23 9:58,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Employee using the new workplace,2023-09-26
18588828,9/26/23 9:58,Please share your ideas on how we could improve the guidance we provide.,TEXT,,2023-09-26
18588828,9/26/23 9:58,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,,2023-09-26
18588828,9/26/23 9:58,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2023-09-26
20162642,5/1/24 12:31,Move Support,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,Change Management/Communications,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,How satisfied are you that the provided technology solutions meets the business needs?,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,How satisfied are you that your management team had the support they needed to guide employees through this change?,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,Did you participate in a change management event listed below? (select all that apply),MULTISELECT,Move Info Session;,2024-05-01
20162642,5/1/24 12:31,Did the information shared in these events prepare you for the first day in your new workplace?,YesNo,Yes,2024-05-01
20162642,5/1/24 12:31,"How satisfied are you with the technology solutions, are they intuitive and easy to use?",Rated1-5,4,2024-05-01
20162642,5/1/24 12:31,How satisfied are you with the overall delivery of your new workplace?,Rated1-5,4,2024-05-01
20162642,5/1/24 12:31,Project Delivery,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,How satisfied are you with the move support?,Rated1-5,4,2024-05-01
20162642,5/1/24 12:31,How satisfied are you that the project team met the communicated schedule and delivery expectations?,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,Would you have benefitted from more guidance on how to lead this change?,YesNo,,2024-05-01
20162642,5/1/24 12:31,Do you have specific comments you would like to share about the schedule and expectations?,TEXT,,2024-05-01
20162642,5/1/24 12:31,Clean sweep support,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,Do you have any additional comments you would like to share about the delivery of your new workplace?,TEXT,,2024-05-01
20162642,5/1/24 12:31,Do you have specific comments you would like to share about the move support?,TEXT,Moving/packing supplies (besides boxes) were not made available for people who no longer have a desk.,2024-05-01
20162642,5/1/24 12:31,Communications and materials to support your team,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,Please select which workplace location you work at:,SINGLESELECT,DC007 – 655 New York Avenue,2024-05-01
20162642,5/1/24 12:31,Do you have specific comments you would like to share about these events?,TEXT,,2024-05-01
20162642,5/1/24 12:31,How satisfied are you that the guidance you received prepared you to help manage this move?,Rated1-5,,2024-05-01
20162642,5/1/24 12:31,Please rate your satisfaction with the following teams:,FREETEXT,,2024-05-01
20162642,5/1/24 12:31,Does your new workplace environment impact how often you come to the office?,SINGLESELECT,"Yes, I come in less",2024-05-01
20162642,5/1/24 12:31,Please select the role that best describes your involvement in the delivery of your new workplace:,SINGLESELECT,Employee using the new workplace,2024-05-01
20162642,5/1/24 12:31,"What is the Address, City, State and Country for your workplace location?",TEXT,,2024-05-01
20162642,5/1/24 12:31,Please share your ideas on how we could improve the guidance we provide.,TEXT,,2024-05-01
20162642,5/1/24 12:31,Do you have specific comments you would like to share about the technology in your new workplace?,TEXT,,2024-05-01
20162642,5/1/24 12:31,Please rate your satisfaction with Enterprise Real Estate's support in these areas:,FREETEXT,,2024-05-01
20162642,5/1/24 12:31,Care to tell us why? Your feedback helps us improve our workplace delivery.,TEXT,,2024-05-01
